"gene_id","gene_label","log2FC_deseq2","padj_deseq2","logFC_limma","padj_limma","gene_symbol_limma","entrez_id","gene_symbol","mean_log2FoldChange","best_padj","n_dars","representative_annotation","direction"
"ENSMUSG00000038725","Pkhd1l1",6.17346610945943,0,6.09571746109619,9.73970527889932e-07,"Pkhd1l1","192190","Pkhd1l1",2.11983949492821,6.56850052907051e-08,5,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000063952","Brpf3",6.12823565043182,2.4462439351952e-131,5.96597734551377,3.71018049441129e-06,"Brpf3","268936","Brpf3",4.02281112831527,8.82017760234203e-16,9,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000034825","Nrip3",6.10440976315157,1.44655541223026e-55,6.11480906508225,0.000372624870065811,"Nrip3","78593","Nrip3",1.03608819984854,1.0310067061721e-08,8,"Intron (ENSMUST00000041460.12/78593, intron 2 of 7)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000032661","Oas3",6.10224141000044,4.8642361531499e-147,5.97621503480668,8.58740312032288e-06,"Oas3","246727","Oas3",8.76006216997397,9.90422423433984e-08,1,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000026571","Dcaf6",6.09572747782002,0,6.03064819931098,9.14590526178393e-07,"Dcaf6","74106","Dcaf6",1.92260686548943,9.45676351606643e-09,16,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000023827","Agpat4",6.07560593892366,1.5025819848356e-125,5.95723425273551,3.43456573733736e-05,"Agpat4","68262","Agpat4",0.681056789376617,2.15581996357554e-10,19,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000032126","Hmbs",6.07004738609758,0,6.00904180432025,9.02921776330809e-07,"Hmbs","15288","Hmbs",1.25849899904721,3.31264385202585e-06,2,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000000804","Usp32",6.05598434367926,0,5.96737730649488,9.02921776330809e-07,"Usp32","237898","Usp32",2.66421304126849,9.09285880009509e-10,8,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020309","Chac2",6.04179850379715,2.84327204666193e-221,5.95325445266428,4.16328390064584e-06,"Chac2","68044","Chac2",9.3049156409736,2.74614609096617e-09,5,"Intron (ENSMUST00000203878.2/65257, intron 1 of 9)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000008393","Carhsp1",5.97074228410804,8.08775977256394e-227,5.91234606511948,3.42052443725938e-06,"Carhsp1","52502","Carhsp1",6.91625828608098,2.43520081395727e-09,3,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000033182","Kbtbd12",5.90066759039734,1.08420508775874e-14,5.93615847716645,0.00241047085133481,"Kbtbd12","74589","Kbtbd12",8.06990938115505,8.72527927986246e-09,9,"Exon (ENSMUST00000184743.2/ENSMUST00000184743.2, exon 1 of 1)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000039236","Isg20",5.87278978792998,0,5.82077172105563,2.09620656254897e-06,"Isg20","57444","Isg20",4.91300268285876,1.05596621584233e-10,7,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000019437","Tlcd1",5.82545996057724,1.0933339081627e-79,5.65483023832462,1.55873401187849e-05,"Tlcd1","68385","Tlcd1",3.98233840778813,2.60524681116432e-08,3,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000092274","Neat1",5.80223009233397,6.13583822110962e-281,5.7183593286914,9.35187016733389e-07,"Neat1","66961","Neat1",4.06851723454426,1.58773631484833e-09,6,"Promoter (2-3kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000024777","Ppp2r5b",5.77996529464841,2.35927408539758e-111,5.62912075683311,2.6154464270818e-05,"Ppp2r5b","225849","Ppp2r5b",6.72806130023781,5.97817014341221e-10,3,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
