"gene_id","gene_symbol","log2FC_deseq2","padj_deseq2","logFC_limma_voom","padj_limma_voom","same_direction"
"ENSMUSG00000035547","Capn5",2.42962453104426,7.47468326244497e-12,2.41121705229069,0.00086641009527144,TRUE
"ENSMUSG00000035569","Ankrd11",2.05684091122105,2.99717158052649e-21,1.96749611003442,0.000205298943805644,TRUE
"ENSMUSG00000035572","Dcaf10",2.46991586946026,3.7215196534474e-38,2.4110221206622,6.64250734483001e-05,TRUE
"ENSMUSG00000035575","Utp6",-1.27321224821919,2.10536150387682e-11,-1.35226254395229,0.00223589360445062,TRUE
"ENSMUSG00000035642","Aamdc",-3.6659321568215,0.000250921238324973,-4.25153425348988,0.00969514251201899,TRUE
"ENSMUSG00000035671","Zswim4",1.29117255372972,0.000351289154028189,1.36536520752954,0.0113020837863525,TRUE
"ENSMUSG00000035692","Isg15",6.54760514604432,0.00215745850434581,10.5514861482304,0.00162176347285362,TRUE
"ENSMUSG00000035711","Dok3",2.07767531201213,1.84509774149311e-06,2.10597970082394,0.00568507326686816,TRUE
"ENSMUSG00000035722","Abca7",2.35992589183286,4.4896197070704e-17,2.22808608463229,0.000412959629998272,TRUE
"ENSMUSG00000035770","Dync1li2",1.48075856974304,1.10485381211896e-06,1.36374517779344,0.00375124609487044,TRUE
"ENSMUSG00000035834","Polr3g",-1.47808261997905,0.00225923910467581,-1.60939157113606,0.0413382077558675,TRUE
"ENSMUSG00000035835","Plppr3",-1.84667967118228,3.76979948335915e-08,-1.97227076164827,0.0117258241195683,TRUE
"ENSMUSG00000035840","Lysmd3",1.9677847269101,3.96323962270003e-15,1.92324782844306,0.000645389271872294,TRUE
"ENSMUSG00000035851","Ythdc1",2.27285707504142,4.56687915428317e-57,2.20331507527562,2.24413374962989e-05,TRUE
"ENSMUSG00000035933","Cog5",-1.07797562010244,0.000949984101630335,-1.16574908476625,0.0315558780751732,TRUE
"ENSMUSG00000035941","Ibtk",4.71721649096106,0,4.65564729799546,9.02921776330809e-07,TRUE
"ENSMUSG00000035949","Fbxw2",2.82025859445144,3.90262781329572e-51,2.80134276942282,1.91022302256074e-05,TRUE
"ENSMUSG00000035953","Pip4p1",1.90130167930695,4.14491363211809e-13,1.86661038249838,0.000969790571239654,TRUE
"ENSMUSG00000035960","Apex1",-2.40211107464455,3.99586126219603e-22,-2.49885714747307,0.00162728713333056,TRUE
"ENSMUSG00000035967","Ints6l",2.72043838297483,7.73438966010906e-64,2.68977407014081,1.15285542857249e-05,TRUE
"ENSMUSG00000036002","Atosb",9.00110246770812,1.672328793515e-25,9.04701769452535,0.000136171775204163,TRUE
"ENSMUSG00000036062","Phf24",2.48186231334169,0.0150316039652043,3.4796665555162,0.0420095817161744,TRUE
"ENSMUSG00000036078","Sigmar1",-1.77860145511339,1.04230780783277e-05,-1.99068864346597,0.0241744368531988,TRUE
"ENSMUSG00000036099","Vezt",2.50480822824926,6.59217405229796e-14,2.41600662619523,0.000672380844670183,TRUE
"ENSMUSG00000036106","Prr5",-4.01499523889048,0.0028563200140917,-4.92410588173843,0.00329602474431283,TRUE
"ENSMUSG00000036112","Metap2",5.13969416387092,2.26927005585641e-143,5.08057886100459,1.83763164369017e-06,TRUE
